url_path,title,h1,meta_description_short,intent,audience,seo_keyword_main,tier_propuesto,tier_reasoning
/admin.html,Panel de Leads · Sportmaster F7,Panel de Leads,,internal,internal,unknown,3-internal,Internal/admin or 404 page; no marketing tracking needed
/alumbrado-canchas/index.html,Lámparas para Canchas de Fútbol LED | Sportmaster,Lámparas para canchas de fútbol. Haz que el juego siga.,"Lámparas para canchas de fútbol y luminarias LED deportivas: diseño, suministro",transactional,mixed,lamparas canchas futbol led,1-ads,Commercial product landing; Ads-eligible accessory
/alumbrado-para-canchas-de-futbol/index.html,Alumbrado para Canchas Deportivas | Sportmaster,Alumbrado para canchas deportivas. Haz que el juego siga.,Alumbrado para canchas deportivas e iluminación deportiva profesional para canch,transactional,mixed,alumbrado canchas futbol,1-ads,Commercial product landing; Ads-eligible accessory
/bancas-para-jugadores/index.html,"Bancas para Jugadores de Fútbol | Desde $19,500 MXN","Bancas para jugadores Sportmaster. Fútbol 5, fútbol 7 y soccer. Sets o piezas individuales.","Bancas para jugadores de fútbol 5, 7 y 11. Lona o policarbonato, individuales o",transactional,mixed,bancas para jugadores futbol,1-ads,Product landing with price; Ads-eligible
/cancha-futbol-7-escuela-es-nuestra-2026/index.html,Cancha de Fútbol 7 con La Escuela Es Nuestra 2026 | Cotiza en 1 hora,Cancha de fútbol 7 con La Escuela Es Nuestra 2026,"Cancha de fútbol 7 con La Escuela Es Nuestra 2026. Llave en mano desde $491,000",program-leen,b2b-escuela-publica-leen,cancha futbol 7 la escuela es nuestra 2026,2-organic,LEEN-bounded landing for public schools; Olga's rule: no Ads on LEEN pages
/canchas-de-pasto-sintetico-para-escuelas/index.html,Canchas de Pasto Sintético para Escuelas | Sportmaster,Canchas de pasto sintético para escuelas,"Canchas de pasto sintético para escuelas y colegios en México. Seguridad, uso di",informational,mixed,canchas pasto sintetico para escuelas,2-organic,Generic schools page; informational SEO; mixed audience but pricing not central
/construccion-cancha-futbol-11/index.html,Construcción de Cancha de Futbol 11 y Soccer | Sportmaster,Construcción de cancha de futbol 11 y soccer,Construcción de cancha de futbol 11 y soccer con pasto sintético deportivo. Míni,transactional,b2c-general,construccion cancha futbol 11,1-ads,"Commercial 'construccion' keyword, primary Ads target"
/construccion-cancha-futbol-5/index.html,Construcción de Cancha de Futbol 5 | Sportmaster,Construcción de cancha de futbol 5,Construcción de cancha de futbol 5 con pasto sintético deportivo. Desde 40 x 20,transactional,b2c-general,construccion cancha futbol 5,1-ads,"Commercial 'construccion' keyword, primary Ads target"
/construccion-cancha-futbol-7.html,"Construcción de canchas de fútbol 7 en México | Proceso, materiales y costo | Sportmaster",Construcción de canchas de fútbol 7 llave en mano,Guía completa de construcción de canchas de fútbol 7 en México. Proceso paso a p,transactional,b2c-general,construccion canchas futbol 7 mexico,1-ads,"Commercial 'construccion' keyword, primary Ads target"
/construccion-cancha-futbol-7/index.html,Construcción de Cancha de Futbol 7 | Sportmaster,Construcción de cancha de futbol 7,Construcción de cancha de futbol 7 con pasto sintético deportivo. Medida mínima,transactional,b2c-general,construccion cancha futbol 7,1-ads,"Commercial 'construccion' keyword, primary Ads target"
/construccion-cancha-futbol-rapido/index.html,Construcción de Cancha de Futbol Rápido | Sportmaster,Construcción de cancha de futbol rápido,Construcción de cancha de futbol rápido con pasto sintético deportivo. Medida 53,transactional,b2c-general,construccion cancha futbol rapido,1-ads,"Commercial 'construccion' keyword, primary Ads target"
/construccion-de-canchas-de-futbol-7-en-monterrey.html,Construcción de canchas de fútbol 7 en Monterrey | Sportmaster,Construcción de canchas de fútbol 7 en Monterrey y zona metropolitana,Construimos canchas de fútbol 7 con pasto sintético en Monterrey y zona metro (S,local-seo,b2c-general,constructora canchas deportivas monterrey,1-ads,City-targeted commercial landing; geo-targeted Google Ads
/construccion-de-canchas-de-futbol-en-cancun/index.html,Construcción de Canchas de Futbol en Cancún,Construcción de canchas de futbol en Cancún,"Construcción de canchas de futbol en Cancún con pasto sintético deportivo, línea",local-seo,b2c-general,construccion canchas futbol en cancun,1-ads,City-targeted commercial landing; geo-targeted Google Ads
/construccion-de-canchas-de-futbol-en-cdmx/index.html,Construcción de Canchas de Futbol en CDMX,Construcción de canchas de futbol en CDMX,"Construcción de canchas de futbol en CDMX con pasto sintético deportivo, líneas,",local-seo,b2c-general,construccion canchas futbol en cdmx,1-ads,City-targeted commercial landing; geo-targeted Google Ads
/construccion-de-canchas-de-futbol-en-guadalajara/index.html,Construcción de Canchas de Futbol en Guadalajara,Construcción de canchas de futbol en Guadalajara,"Construcción de canchas de futbol en Guadalajara con pasto sintético deportivo,",local-seo,b2c-general,construccion canchas futbol en guadalajara,1-ads,City-targeted commercial landing; geo-targeted Google Ads
/construccion-de-canchas-de-futbol-en-merida/index.html,Construcción de Canchas de Futbol en Mérida,Construcción de canchas de futbol en Mérida,"Construcción de canchas de futbol en Mérida con pasto sintético deportivo, línea",local-seo,b2c-general,construccion canchas futbol en merida,1-ads,City-targeted commercial landing; geo-targeted Google Ads
/construccion-de-canchas-de-futbol-en-monterrey/index.html,Construcción de Canchas de Futbol en Monterrey,Construcción de canchas de futbol en Monterrey,"Construcción de canchas de futbol en Monterrey con pasto sintético deportivo, lí",local-seo,b2c-general,construccion canchas futbol en monterrey,1-ads,City-targeted commercial landing; geo-targeted Google Ads
/construccion-de-canchas-de-futbol-en-puebla/index.html,Construcción de Canchas de Futbol en Puebla,Construcción de canchas de futbol en Puebla,"Construcción de canchas de futbol en Puebla con pasto sintético deportivo, línea",local-seo,b2c-general,construccion canchas futbol en puebla,1-ads,City-targeted commercial landing; geo-targeted Google Ads
/construccion-de-canchas-de-futbol-en-queretaro/index.html,Construcción de Canchas de Futbol en Querétaro,Construcción de canchas de futbol en Querétaro,"Construcción de canchas de futbol en Querétaro con pasto sintético deportivo, lí",local-seo,b2c-general,construccion canchas futbol en queretaro,1-ads,City-targeted commercial landing; geo-targeted Google Ads
/construccion-de-canchas-de-futbol-en-tijuana/index.html,Construcción de Canchas de Futbol en Tijuana,Construcción de canchas de futbol en Tijuana,"Construcción de canchas de futbol en Tijuana con pasto sintético deportivo, líne",local-seo,b2c-general,construccion canchas futbol en tijuana,1-ads,City-targeted commercial landing; geo-targeted Google Ads
/construccion-de-canchas-deportivas/index.html,Construcción de Canchas Deportivas en México,Construcción de canchas deportivas en México,"Construcción de canchas deportivas en México para futbol, pádel, multiusos, beis",transactional,mixed,construccion canchas deportivas mexico,1-ads,Broad commercial construccion keyword; eligible for Ads
/cotizar.html,Cotiza tu cancha · Sportmaster,Cotiza tu cancha en 30 segundos,Llena el formulario en 30 segundos y recibe tu cotización por WhatsApp.,transactional,b2c-general,cotizar cancha futbol 7,1-ads,"Pure quote form, primary Ads conversion landing"
